new_ratio,ewc_lambda,t1,t2,t3,t4,t5,t6,t7,t8,t9
0.9,10.0,0.348969,0.335019,0.341151,0.333236,0.335728,0.337096,0.338855,0.340931,0.345573
0.9,100.0,0.343155,0.331257,0.338708,0.332210,0.334848,0.335043,0.337633,0.341567,0.342935
0.9,1000.0,0.344132,0.338904,0.345573,0.341811,0.340882,0.343912,0.345378,0.346062,0.348578
0.9,10000.0,0.348993,0.344474,0.351143,0.352805,0.353391,0.357275,0.359230,0.359743,0.361209
0.9,100000.0,0.346477,0.350313,0.356372,0.357935,0.361258,0.364776,0.364556,0.367072,0.368587
0.9,1000000.0,0.345182,0.348798,0.357764,0.358790,0.361966,0.366193,0.367536,0.369418,0.369418
0.9,10000000.0,0.340492,0.347088,0.358619,0.359181,0.363823,0.365118,0.367707,0.368953,0.371885
0.9,100000000.0,0.346135,0.348334,0.356127,0.359425,0.362284,0.365460,0.369076,0.369686,0.371396
0.9,1000000000.0,0.344523,0.346502,0.354686,0.359450,0.361624,0.362870,0.366193,0.367659,0.367585
0.9,10000000000.0,0.345720,0.343326,0.351510,0.356005,0.358888,0.363334,0.363994,0.364898,0.366901
1.0,0.1,0.349311,0.350288,0.355883,0.357300,0.362895,0.357569,0.358717,0.365044,0.363139
1.0,1.0,0.348041,0.339270,0.346306,0.337804,0.341762,0.346575,0.346502,0.346624,0.351901
1.0,10.0,0.343155,0.336998,0.339050,0.336094,0.334017,0.335581,0.341664,0.343839,0.347112
1.0,100.0,0.344474,0.333627,0.340663,0.337413,0.336998,0.339392,0.340345,0.344181,0.346770
1.0,1000.0,0.343399,0.338391,0.347405,0.346575,0.346013,0.349238,0.349702,0.352976,0.356469
1.0,10000.0,0.337804,0.338904,0.350264,0.351143,0.353904,0.354539,0.355858,0.358277,0.360549
1.0,100000.0,0.341640,0.341640,0.350362,0.355150,0.355199,0.358619,0.360696,0.363212,0.363237
1.0,1000000.0,0.344376,0.343643,0.355052,0.356616,0.359450,0.362919,0.365509,0.367219,0.370493
1.0,10000000.0,0.345622,0.345158,0.355028,0.358204,0.360574,0.362919,0.366779,0.368758,0.370566
1.0,100000000.0,0.340272,0.341542,0.352243,0.356396,0.357178,0.362504,0.364996,0.365020,0.368831
1.0,1000000000.0,0.347234,0.347210,0.359719,0.361893,0.364385,0.367121,0.368929,0.369613,0.372813
1.0,10000000000.0,0.346697,0.347576,0.357275,0.360916,0.364531,0.365631,0.367732,0.371177,0.371519
